# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 3719
# _SET1_  P-VALUE = 0.0148822
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   AGRN               1     955503     991499      1       1  605446     -0.98686         0.64   -0.00015148     -0.98671
_SET1_   C1orf159           1    1017198    1051736     15       4  652895    -0.064596      0.12198   -0.00015148    -0.064444
_SET1_   ATAD3A             1    1447523    1470067      4       1  634044     -0.94568      0.62075   -0.00015148     -0.94553
_SET1_   PRKCZ              1    1981909    2116834     65       7  681115     -0.71279      0.15306   -0.00015148     -0.71264
_SET1_   C1orf86            1    2115899    2144159      9       2  692834     -0.47485      0.16688   -0.00015148      -0.4747
_SET1_   PEX10              1    2336241    2344010      2       1  661592    -0.074617      0.21035   -0.00015148    -0.074466
_SET1_   PLCH2              1    2407754    2436964     20       5  681401       4.4037   1.5839e-09   -0.00015148       4.4039
_SET1_   FAM213B            1    2517899    2522908      1       1  691696       2.6523      7.6e-05   -0.00015148       2.6524
_SET1_   MMEL1              1    2522078    2564499     24       2  684487       2.1667   0.00014726   -0.00015148       2.1669
_SET1_   MEGF6              1    3404506    3528059     44      16  617760      0.47339     0.036675   -0.00015148      0.47354
_SET1_   AJAP1              1    4715105    4843851    201      48  676129     -0.96465     0.036168   -0.00015148      -0.9645
_SET1_   RNF207             1    6266189    6281359      6       2  706838     -0.25561       0.1388   -0.00015148     -0.25546
_SET1_   GPR153             1    6307406    6321035      6       1  689242        1.865   0.00076883   -0.00015148       1.8652
_SET1_   NOL9               1    6581407    6614658     25       2  694636        2.198   0.00016253   -0.00015148       2.1981
_SET1_   ZBTB48             1    6640051    6649340      4       2  692334       4.3117   1.1471e-08   -0.00015148       4.3118
_SET1_   CAMTA1             1    6845384    7829766    915     120  683692       3.4116   9.5996e-17   -0.00015148       3.4118
_SET1_   VAMP3              1    7831329    7841492      7       3  650312      0.82797      0.02522   -0.00015148      0.82812
_SET1_   PER3               1    7844413    7905241     54      10  682422       1.5621    0.0004636   -0.00015148       1.5622
_SET1_   ERRFI1             1    8071779    8086393      8       2  684602       2.2218   0.00016139   -0.00015148        2.222
_SET1_   ENO1               1    8921059    8939151     16       3  681538    -0.057277     0.089518   -0.00015148    -0.057126
_SET1_   GPR157             1    9163472    9189229     12       3  683560      0.26624     0.045696   -0.00015148      0.26639
_SET1_   H6PD               1    9294822    9331396     17       5  692522       0.5054     0.019581   -0.00015148      0.50555
_SET1_   NMNAT1             1   10003486   10045556     10       2  701474      0.23154      0.06228   -0.00015148      0.23169
_SET1_   DFFA               1   10520588   10532613      2       1  686882      -1.3678      0.55086   -0.00015148      -1.3676
_SET1_   CASZ1              1   10696661   10856733     84      28  649435       5.2353   4.1069e-13   -0.00015148       5.2355
_SET1_   EXOSC10            1   11126675   11159961     14       1  701100       4.3537   4.0128e-09   -0.00015148       4.3538
_SET1_   MTOR               1   11166588   11322614     40       2  678359        4.768   2.2376e-10   -0.00015148       4.7681
_SET1_   PTCHD2             1   11539295   11597640     39       5  681852      -1.5535      0.49843   -0.00015148      -1.5534
_SET1_   FBXO44             1   11714432   11723384      5       2  625775       1.4985    0.0085185   -0.00015148       1.4987
_SET1_   MAD2L2             1   11734537   11751678      6       2  639808     -0.97312      0.47351   -0.00015148     -0.97297
_SET1_   DRAXIN             1   11751781   11780336     13       5  658050      -1.3021      0.49613   -0.00015148       -1.302
_SET1_   MTHFR              1   11845787   11866160     32       6  755623       2.1608   1.7343e-05   -0.00015148       2.1609
_SET1_   PLOD1              1   11994724   12035599     21       5  679819       3.4853   3.8534e-07   -0.00015148       3.4854
_SET1_   TNFRSF1B           1   12227044   12269279     40       7  697993       -2.614      0.83079   -0.00015148      -2.6138
_SET1_   VPS13D             1   12290101   12572099     68      14  673140      -1.4714      0.43288   -0.00015148      -1.4713
_SET1_   DHRS3              1   12627939   12677820     35      11  682792      -1.1516      0.28212   -0.00015148      -1.1514
_SET1_   EFHD2              1   15736391   15756839      4       2  687062     -0.61586      0.23808   -0.00015148     -0.61571
_SET1_   CELA2A             1   15783223   15798586     16       3  685120       1.8225   0.00056167   -0.00015148       1.8226
_SET1_   SPEN               1   16174359   16266951     37       5  678728      0.92436    0.0074323   -0.00015148      0.92451
_SET1_   HSPB7              1   16340523   16346084     11       3  657258       2.2174   0.00026675   -0.00015148       2.2176
_SET1_   ARHGEF19           1   16524599   16539104     16       2  683711     -0.96015      0.33706   -0.00015148        -0.96
_SET1_   FBXO42             1   16573339   16678965     40       3  691082       1.6356    0.0005685   -0.00015148       1.6357
_SET1_   MFAP2              1   17300997   17308081      2       1  692376       4.3953   5.5488e-09   -0.00015148       4.3955
_SET1_   SDHB               1   17345217   17380665     26       5  693752       3.0012   1.7145e-06   -0.00015148       3.0014
_SET1_   PADI2              1   17393256   17445948     64       7  676376       3.5056   8.5395e-08   -0.00015148       3.5058
_SET1_   ACTL8              1   18081808   18153558     38       5  686280     -0.28675     0.090559   -0.00015148      -0.2866
_SET1_   PAX7               1   18957500   19075360    113      29  646020       0.3179     0.010913   -0.00015148      0.31806
_SET1_   AKR7A2             1   19629202   19638640      5       2  675234       1.0889    0.0097908   -0.00015148       1.0891
_SET1_   PQLC2              1   19638740   19658925      9       3  668221      -2.6122      0.90462   -0.00015148      -2.6121
_SET1_   VWA5B1             1   20617412   20681662     94      14  689890      -1.3081      0.24654   -0.00015148       -1.308
