# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 4025
# _SET1_  P-VALUE = 0.0132886
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   SAMD11             1     859993     879961     76      18  215859     -0.48471      0.43509    0.00072216     -0.48543
_SET1_   HES4               1     934342     936608     14       4  222801       2.1071    0.0041599    0.00072216       2.1064
_SET1_   AGRN               1     955503     991499    164      27  215093      0.65417     0.073972    0.00072216      0.65345
_SET1_   C1orf159           1    1017198    1051736    112      15  240636      -1.3678      0.72255    0.00072216      -1.3685
_SET1_   TAS1R3             1    1266726    1269844      9       5  218795       1.2312     0.056947    0.00072216       1.2305
_SET1_   DVL1               1    1270658    1284509     39       9  228497     0.065853       0.2739    0.00072216     0.065131
_SET1_   MXRA8              1    1288071    1297183     30       7  232479     -0.39064      0.44286    0.00072216     -0.39136
_SET1_   VWA1               1    1370903    1378262      6       2  230043      -2.6491      0.98552    0.00072216      -2.6498
_SET1_   ATAD3A             1    1447523    1470067     50       7  230118      0.58714      0.12947    0.00072216      0.58642
_SET1_   SLC35E2B           1    1591486    1624243     28       7  200857      0.75826     0.086391    0.00072216      0.75754
_SET1_   SLC35E2            1    1656277    1677438      4       1  233988      -1.7324      0.90953    0.00072216      -1.7331
_SET1_   TMEM52             1    1849029    1850740      6       3  251242      0.18017      0.22605    0.00072216      0.17945
_SET1_   PRKCZ              1    1981909    2116834    496      47  236748       -1.263      0.53891    0.00072216      -1.2638
_SET1_   C1orf86            1    2115899    2144159     64      17  235105      -1.6519      0.81942    0.00072216      -1.6526
_SET1_   PEX10              1    2336241    2344010     31      12  228145    -0.085378      0.28892    0.00072216      -0.0861
_SET1_   PLCH2              1    2407754    2436964    107      26  228858     -0.54969       0.3975    0.00072216     -0.55041
_SET1_   HES5               1    2460184    2461684      5       3  230194       1.4467     0.035474    0.00072216        1.446
_SET1_   FAM213B            1    2517899    2522908     19      10  223748      -1.0399      0.68005    0.00072216      -1.0406
_SET1_   MMEL1              1    2522078    2564499    182      16  243629      -1.5896      0.76732    0.00072216      -1.5903
_SET1_   MEGF6              1    3404506    3528059    475      79  231716      -1.3867      0.54891    0.00072216      -1.3874
_SET1_   AJAP1              1    4715105    4843851    712      99  244656       1.4546    0.0015203    0.00072216       1.4539
_SET1_   RNF207             1    6266189    6281359     45       8  237331     -0.84655      0.60632    0.00072216     -0.84727
_SET1_   GPR153             1    6307406    6321035     37       3  248732     -0.55228      0.45576    0.00072216       -0.553
_SET1_   NOL9               1    6581407    6614658    129       7  250378      0.93656     0.047202    0.00072216      0.93584
_SET1_   ZBTB48             1    6640051    6649340     18      11  228399      0.70526      0.10578    0.00072216      0.70454
_SET1_   CAMTA1             1    6845384    7829766   2930     228  240899       2.7443   5.3814e-08    0.00072216       2.7436
_SET1_   VAMP3              1    7831329    7841492     38      12  254106      0.13732       0.1919    0.00072216       0.1366
_SET1_   PER3               1    7844413    7905241    251      37  252452     -0.17999       0.2007    0.00072216     -0.18071
_SET1_   ERRFI1             1    8071779    8086393     30       8  244433     -0.12623      0.29294    0.00072216     -0.12695
_SET1_   ENO1               1    8921059    8939151     34       9  242741     -0.11248      0.28987    0.00072216      -0.1132
_SET1_   GPR157             1    9163472    9189229     69      13  242120     -0.79242      0.51357    0.00072216     -0.79314
_SET1_   H6PD               1    9294822    9331396    104      21  236260     -0.20048      0.26524    0.00072216      -0.2012
_SET1_   NMNAT1             1   10003486   10045556     96      17  240689      -1.3084      0.72507    0.00072216      -1.3091
_SET1_   DFFA               1   10520588   10532613     27       8  224455       1.3583     0.025099    0.00072216       1.3576
_SET1_   CASZ1              1   10696661   10856733    407      80  237915      -1.3616       0.5408    0.00072216      -1.3623
_SET1_   SRM                1   11114649   11120091      8       3  240924     -0.55057      0.52622    0.00072216     -0.55129
_SET1_   EXOSC10            1   11126675   11159961     90       6  245976     -0.32687      0.36386    0.00072216     -0.32759
_SET1_   MTOR               1   11166588   11322614    341      11  244194     -0.27636      0.27277    0.00072216     -0.27709
_SET1_   PTCHD2             1   11539295   11597640    159      18  254218       1.0211     0.029273    0.00072216       1.0204
_SET1_   FBXO44             1   11714432   11723384     24       8  242150      -1.2063      0.72451    0.00072216      -1.2071
_SET1_   MAD2L2             1   11734537   11751678     60      13  232920      -1.3079      0.72194    0.00072216      -1.3087
_SET1_   DRAXIN             1   11751781   11780336     67      12  223445     -0.79784      0.52807    0.00072216     -0.79856
_SET1_   MTHFR              1   11845787   11866160     79      12  257698      -1.5244      0.77715    0.00072216      -1.5252
