# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 3894
# _SET1_  P-VALUE = 0.000230134
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   SAMD11             1     859993     879961     92      22  372174      0.70256      0.12335    0.00090455      0.70165
_SET1_   HES4               1     934342     936608     15       5  368922      0.25501      0.25419    0.00090455      0.25411
_SET1_   AGRN               1     955503     991499    193      33  371410       0.6901     0.097753    0.00090455       0.6892
_SET1_   C1orf159           1    1017198    1051736    123      18  371588     -0.38163      0.42893    0.00090455     -0.38254
_SET1_   TAS1R3             1    1266726    1269844     13       8  372027     -0.57733       0.6667    0.00090455     -0.57824
_SET1_   DVL1               1    1270658    1284509     53      14  372049      0.28612      0.27063    0.00090455      0.28521
_SET1_   MXRA8              1    1288071    1297183     36       9  372207     -0.10157      0.40398    0.00090455     -0.10247
_SET1_   VWA1               1    1370903    1378262      6       2  362840     -0.72815      0.66493    0.00090455     -0.72906
_SET1_   ATAD3A             1    1447523    1470067     51       7  371438     -0.10997      0.40844    0.00090455     -0.11088
_SET1_   SLC35E2B           1    1591486    1624243     30       8  369170      -1.6812      0.87639    0.00090455      -1.6821
_SET1_   SLC35E2            1    1656277    1677438      4       1  361728      0.85044      0.13971    0.00090455      0.84953
_SET1_   TMEM52             1    1849029    1850740      6       3  371395      -1.2032      0.77367    0.00090455      -1.2041
_SET1_   PRKCZ              1    1981909    2116834    547      45  372834        1.641    0.0053937    0.00090455       1.6401
_SET1_   C1orf86            1    2115899    2144159     65      18  371784      0.55583      0.13875    0.00090455      0.55493
_SET1_   PEX10              1    2336241    2344010     31      13  371245       1.9696     0.007464    0.00090455       1.9687
_SET1_   PLCH2              1    2407754    2436964    115      28  372652        3.115    0.0001022    0.00090455       3.1141
_SET1_   HES5               1    2460184    2461684      6       4  370898     -0.64956      0.67635    0.00090455     -0.65047
_SET1_   FAM213B            1    2517899    2522908     19      10  371690       1.6876     0.017545    0.00090455       1.6867
_SET1_   MMEL1              1    2522078    2564499    190      17  373799     -0.62238      0.48391    0.00090455     -0.62328
_SET1_   MEGF6              1    3404506    3528059    457      79  370382      0.26614      0.12042    0.00090455      0.26523
_SET1_   AJAP1              1    4715105    4843851    767      95  373994      -1.1571      0.49327    0.00090455       -1.158
_SET1_   RNF207             1    6266189    6281359     47       8  372530     -0.61656      0.59499    0.00090455     -0.61746
_SET1_   GPR153             1    6307406    6321035     37       3  371430      0.29142      0.20639    0.00090455      0.29052
_SET1_   NOL9               1    6581407    6614658    153      11  375067      -1.2272      0.74566    0.00090455      -1.2281
_SET1_   ZBTB48             1    6640051    6649340     20      12  373813     -0.38182      0.50244    0.00090455     -0.38273
_SET1_   CAMTA1             1    6845384    7829766   3024     232  374730        2.992   5.1492e-08    0.00090455       2.9911
