# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SAMD11             1     859993     879961     92      22  372174      0.70256    0.00090455      0.70165
NOC2L              1     879583     894679     72      13  372212      0.57232    0.00090455      0.57142
KLHL17             1     895967     901099     27       8  371587      0.64279    0.00090455      0.64188
PLEKHN1            1     901872     910488     36      17  370618      0.56496    0.00090455      0.56405
PERM1              1     910579     917473     24       6  370315     -0.25716    0.00090455     -0.25807
HES4               1     934342     936608     15       5  368922      0.25501    0.00090455      0.25411
ISG15              1     948847     949920      9       4  372472     0.083148    0.00090455     0.082243
AGRN               1     955503     991499    193      33  371410       0.6901    0.00090455       0.6892
RNF223             1    1007126    1009687      9       4  369664       2.3781    0.00090455       2.3772
C1orf159           1    1017198    1051736    123      18  371588     -0.38163    0.00090455     -0.38254
TTLL10             1    1109286    1133315    154      21  371183    -0.038493    0.00090455    -0.039398
TNFRSF18           1    1138888    1142163     15       4  370606       0.7165    0.00090455       0.7156
TNFRSF4            1    1146706    1149703     10       4  371104       1.4295    0.00090455       1.4286
SDF4               1    1152288    1167447     96       7  372027     -0.20626    0.00090455     -0.20717
B3GALT6            1    1167629    1170421      9       3  372306       1.6783    0.00090455       1.6774
FAM132A            1    1177826    1182102     13       3  371776      0.24069    0.00090455      0.23979
UBE2J2             1    1189292    1209234     66      13  371877      0.69202    0.00090455      0.69112
SCNN1D             1    1215816    1227409     50      19  371266      0.45818    0.00090455      0.45728
ACAP3              1    1227764    1243304     76      20  372147      0.31845    0.00090455      0.31754
PUSL1              1    1243962    1247057     10       5  372176     -0.97088    0.00090455     -0.97178
CPSF3L             1    1246965    1260067     37      12  372223     -0.46197    0.00090455     -0.46288
CPTP               1    1260136    1264276     19       6  372023     -0.91627    0.00090455     -0.91717
TAS1R3             1    1266726    1269844     13       8  372027     -0.57733    0.00090455     -0.57824
DVL1               1    1270658    1284509     53      14  372049      0.28612    0.00090455      0.28521
MXRA8              1    1288071    1297183     36       9  372207     -0.10157    0.00090455     -0.10247
AURKAIP1           1    1309110    1310818      9       4  372333      0.68523    0.00090455      0.68432
CCNL2              1    1321091    1334718     34      15  371911      0.57869    0.00090455      0.57779
MRPL20             1    1337276    1342693     19       8  372139     -0.46297    0.00090455     -0.46388
ANKRD65            1    1353800    1356824      7       3  370146     -0.29226    0.00090455     -0.29316
TMEM88B            1    1361508    1363167      6       2  366007       1.1443    0.00090455       1.1434
VWA1               1    1370903    1378262      6       2  362840     -0.72815    0.00090455     -0.72906
ATAD3C             1    1378152    1405538     23       7  369372      -1.5295    0.00090455      -1.5304
ATAD3B             1    1407139    1444852     66       7  371414      -1.9862    0.00090455      -1.9871
ATAD3A             1    1447523    1470067     51       7  371438     -0.10997    0.00090455     -0.11088
TMEM240            1    1470158    1475740      6       2  372037     -0.88191    0.00090455     -0.88282
SSU72              1    1477053    1510262     89      11  373742     -0.57846    0.00090455     -0.57937
C1orf233           1    1533388    1535476      2       1  369871      -0.2179    0.00090455      -0.2188
MIB2               1    1550795    1565990     21       5  369667     -0.91564    0.00090455     -0.91654
CDK11B             1    1571100    1590473     16       3  370757     -0.80895    0.00090455     -0.80986
SLC35E2B           1    1591486    1624243     30       8  369170      -1.6812    0.00090455      -1.6821
SLC35E2            1    1656277    1677438      4       1  361728      0.85044    0.00090455      0.84953
NADK               1    1682671    1711508     76      12  371466     0.041899    0.00090455     0.040994
GNB1               1    1716725    1822552    157      23  373726     -0.72585    0.00090455     -0.72675
CALML6             1    1846266    1848733     13       4  373153      -1.7277    0.00090455      -1.7286
TMEM52             1    1849029    1850740      6       3  371395      -1.2032    0.00090455      -1.2041
CFAP74             1    1853390    1935276    286      25  368312      -1.6544    0.00090455      -1.6553
GABRD              1    1950768    1962192     16       3  369879      -1.0909    0.00090455      -1.0918
PRKCZ              1    1981909    2116834    547      45  372834        1.641    0.00090455       1.6401
LOC100506504       1    2113250    2115812      7       4  373583      0.11239    0.00090455      0.11148
C1orf86            1    2115899    2144159     65      18  371784      0.55583    0.00090455      0.55493
SKI                1    2160134    2241652    261      52  371480       0.1986    0.00090455       0.1977
MORN1              1    2251719    2323190    355      55  372113     -0.40568    0.00090455     -0.40659
RER1               1    2323214    2336883     44      16  373635       1.0291    0.00090455       1.0282
PEX10              1    2336241    2344010     31      13  371245       1.9696    0.00090455       1.9687
PLCH2              1    2407754    2436964    115      28  372652        3.115    0.00090455       3.1141
PANK4              1    2439975    2458061     76      15  373673      0.50622    0.00090455      0.50531
HES5               1    2460184    2461684      6       4  370898     -0.64956    0.00090455     -0.65047
TNFRSF14           1    2487291    2495268     24       7  371715      0.43589    0.00090455      0.43499
FAM213B            1    2517899    2522908     19      10  371690       1.6876    0.00090455       1.6867
MMEL1              1    2522078    2564499    190      17  373799     -0.62238    0.00090455     -0.62328
TTC34              1    2572807    2706230     96      17  372488      0.30508    0.00090455      0.30418
ACTRT2             1    2938046    2939467      5       3  376136     -0.70485    0.00090455     -0.70575
PRDM16             1    2985565    3355185   1418     165  372670      -2.3276    0.00090455      -2.3285
ARHGEF16           1    3371147    3397677    111      17  374077     -0.32091    0.00090455     -0.32181
MEGF6              1    3404506    3528059    457      79  370382      0.26614    0.00090455      0.26523
TPRG1L             1    3541556    3546695     20       7  374031     0.080754    0.00090455     0.079849
WRAP73             1    3547331    3566671     58      15  372815     0.099599    0.00090455     0.098695
TP73               1    3569129    3652765    271      50  369609     -0.85813    0.00090455     -0.85903
CCDC27             1    3668965    3688209     74      19  373517      0.40388    0.00090455      0.40298
SMIM1              1    3689352    3692546     12       5  371762     -0.01274    0.00090455    -0.013645
LRRC47             1    3696784    3713068     85      17  374037      -0.2629    0.00090455      -0.2638
CEP104             1    3728645    3773797    316      20  376431      0.74848    0.00090455      0.74758
DFFB               1    3773845    3801993    151      21  370949     0.039069    0.00090455     0.038164
C1orf174           1    3805697    3816857     55      12  376398      0.92905    0.00090455      0.92814
AJAP1              1    4715105    4843851    767      95  373994      -1.1571    0.00090455       -1.158
NPHP4              1    5922870    6052618    559      35  376099      0.61942    0.00090455      0.61851
KCNAB2             1    6052358    6161253    345      60  370885       1.7386    0.00090455       1.7377
CHD5               1    6161847    6240194    293      36  371590      0.20632    0.00090455      0.20542
RPL22              1    6245080    6259679     35       7  370396     -0.11841    0.00090455     -0.11932
RNF207             1    6266189    6281359     47       8  372530     -0.61656    0.00090455     -0.61746
ICMT               1    6281253    6296044     44       9  373560      -0.3207    0.00090455     -0.32161
HES3               1    6304252    6305638      6       3  366327      -1.4472    0.00090455      -1.4481
GPR153             1    6307406    6321035     37       3  371430      0.29142    0.00090455      0.29052
ACOT7              1    6324332    6453826    489      33  372974       1.1346    0.00090455       1.1337
HES2               1    6475292    6484724     25       5  375138      0.63108    0.00090455      0.63018
ESPN               1    6484836    6521004    109      14  371572      0.53985    0.00090455      0.53894
TNFRSF25           1    6520787    6527432     23       8  372929         2.03    0.00090455       2.0291
PLEKHG5            1    6526152    6580121    176      37  372928       0.4305    0.00090455      0.42959
NOL9               1    6581407    6614658    153      11  375067      -1.2272    0.00090455      -1.2281
TAS1R1             1    6614987    6639817     97      22  372535     -0.53265    0.00090455     -0.53356
ZBTB48             1    6640051    6649340     20      12  373813     -0.38182    0.00090455     -0.38273
KLHL21             1    6650784    6662958     49      18  373551      0.31678    0.00090455      0.31588
PHF13              1    6673756    6684093     28       8  375208     -0.49967    0.00090455     -0.50057
THAP3              1    6684925    6695646     43      12  374695     -0.48106    0.00090455     -0.48197
DNAJC11            1    6694228    6761966    207      35  374550    -0.011465    0.00090455     -0.01237
CAMTA1             1    6845384    7829766   3024     232  374730        2.992    0.00090455       2.9911
VAMP3              1    7831329    7841492     39      11  373360       1.6355    0.00090455       1.6346
PER3               1    7844413    7905241    263      29  374699       2.9713    0.00090455       2.9704
UTS2               1    7907672    7913551     26      10  370770       3.0525    0.00090455       3.0516
TNFRSF9            1    7975931    8003225     70      12  372161      0.81809    0.00090455      0.81718
PARK7              1    8021714    8045342     82      19  374043      0.91206    0.00090455      0.91115
ERRFI1             1    8071779    8086393     34      10  375414       1.2407    0.00090455       1.2398
SLC45A1            1    8378171    8404227     95      19  371791       2.8909    0.00090455         2.89
