CHR	START1	START2	END	SCORE	STRAND
chr1	149365000	149365001	chr1:149840000-149840001,28.5601253509521	28.5601253509521	.
chr1	149390000	149390001	chr1:149875000-149875001,7.07262849807739	7.07262849807739	.
chr1	149205000	149205001	chr1:149885000-149885001,6.53296136856079	6.53296136856079	.
chr1	149365000	149365001	chr1:149915000-149915001,15.8692979812622	15.8692979812622	.
chr1	149390000	149390001	chr1:149940000-149940001,4.68754720687866	4.68754720687866	.
chr1	149100000	149100001	chr1:149975000-149975001,4.43231678009033	4.43231678009033	.
chr1	149390000	149390001	chr1:150090000-150090001,4.61036252975464	4.61036252975464	.
chr1	149080000	149080001	chr1:150220000-150220001,11.7245321273804	11.7245321273804	.
chr1	149365000	149365001	chr1:150255000-150255001,17.6278076171875	17.6278076171875	.
chr1	149635000	149635001	chr1:149705000-149705001,28.3241767883301	28.3241767883301	.
chr1	149795000	149795001	chr1:149840000-149840001,4.01478052139282	4.01478052139282	.
chr1	149795000	149795001	chr1:149845000-149845001,4.59929227828979	4.59929227828979	.
chr1	149810000	149810001	chr1:149850000-149850001,3.9781813621521	3.9781813621521	.
chr1	149850000	149850001	chr1:149880000-149880001,7.14379167556763	7.14379167556763	.
chr1	149850000	149850001	chr1:149890000-149890001,3.75254583358765	3.75254583358765	.
chr1	149805000	149805001	chr1:149895000-149895001,6.72359180450439	6.72359180450439	.
chr1	149880000	149880001	chr1:149905000-149905001,6.77280473709106	6.77280473709106	.
chr1	149875000	149875001	chr1:149910000-149910001,5.32819175720215	5.32819175720215	.
chr1	149890000	149890001	chr1:149910000-149910001,6.1207447052002	6.1207447052002	.
chr1	149895000	149895001	chr1:149910000-149910001,7.19751596450806	7.19751596450806	.
chr1	149890000	149890001	chr1:149915000-149915001,3.70304870605469	3.70304870605469	.
chr1	149850000	149850001	chr1:149920000-149920001,4.51567554473877	4.51567554473877	.
chr1	149815000	149815001	chr1:149925000-149925001,5.89043140411377	5.89043140411377	.
chr1	149905000	149905001	chr1:149925000-149925001,3.17496562004089	3.17496562004089	.
chr1	149910000	149910001	chr1:149925000-149925001,3.03462481498718	3.03462481498718	.
chr1	149880000	149880001	chr1:149930000-149930001,3.27773499488831	3.27773499488831	.
chr1	149905000	149905001	chr1:149930000-149930001,3.04551911354065	3.04551911354065	.
chr1	149910000	149910001	chr1:149930000-149930001,6.98616027832031	6.98616027832031	.
chr1	149915000	149915001	chr1:149930000-149930001,4.55174970626831	4.55174970626831	.
chr1	149910000	149910001	chr1:149935000-149935001,3.03522396087646	3.03522396087646	.
