# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
AGRN               1     955503     991499      1       1  605446     -0.98686   -0.00015148     -0.98671
C1orf159           1    1017198    1051736     15       4  652895    -0.064596   -0.00015148    -0.064444
TTLL10             1    1109286    1133315      9       3  634304      -1.2973   -0.00015148      -1.2971
TNFRSF18           1    1138888    1142163      2       1  690056    -0.029213   -0.00015148    -0.029061
TNFRSF4            1    1146706    1149703      1       1  604610     -0.34295   -0.00015148     -0.34279
SDF4               1    1152288    1167447      5       2  684395      -1.5813   -0.00015148      -1.5811
FAM132A            1    1177826    1182102      1       1  674662    0.0082039   -0.00015148    0.0083554
UBE2J2             1    1189292    1209234      8       3  668496      -0.8445   -0.00015148     -0.84435
SCNN1D             1    1215816    1227409      2       1  625319      0.21524   -0.00015148      0.21539
ACAP3              1    1227764    1243304      4       1  606754      -1.2315   -0.00015148      -1.2314
PUSL1              1    1243962    1247057      1       1  609674     -0.62741   -0.00015148     -0.62726
CPSF3L             1    1246965    1260067      1       1  639461     -0.13799   -0.00015148     -0.13784
ATAD3A             1    1447523    1470067      4       1  634044     -0.94568   -0.00015148     -0.94553
TMEM240            1    1470158    1475740      1       1  675033       -1.308   -0.00015148      -1.3079
SSU72              1    1477053    1510262     14       2  676480      -2.1188   -0.00015148      -2.1187
NADK               1    1682671    1711508      3       2  761729       4.4249   -0.00015148        4.425
GNB1               1    1716725    1822552     40       6  656376       5.5941   -0.00015148       5.5943
CALML6             1    1846266    1848733      1       1  690924        6.719   -0.00015148       6.7191
CFAP74             1    1853390    1935276     14       4  661832       5.6019   -0.00015148        5.602
PRKCZ              1    1981909    2116834     65       7  681115     -0.71279   -0.00015148     -0.71264
LOC100506504       1    2113250    2115812      1       1  691735       0.4613   -0.00015148      0.46145
C1orf86            1    2115899    2144159      9       2  692834     -0.47485   -0.00015148      -0.4747
SKI                1    2160134    2241652     59      14  672021      0.55865   -0.00015148       0.5588
MORN1              1    2251719    2323190     66      15  668755     -0.24598   -0.00015148     -0.24583
RER1               1    2323214    2336883      7       2  678496     -0.64407   -0.00015148     -0.64391
PEX10              1    2336241    2344010      2       1  661592    -0.074617   -0.00015148    -0.074466
PLCH2              1    2407754    2436964     20       5  681401       4.4037   -0.00015148       4.4039
PANK4              1    2439975    2458061      9       2  672350       3.4394   -0.00015148       3.4396
FAM213B            1    2517899    2522908      1       1  691696       2.6523   -0.00015148       2.6524
MMEL1              1    2522078    2564499     24       2  684487       2.1667   -0.00015148       2.1669
TTC34              1    2572807    2706230      2       1  691688       4.9785   -0.00015148       4.9786
ACTRT2             1    2938046    2939467      2       1  690303    -0.041227   -0.00015148    -0.041076
PRDM16             1    2985565    3355185    282      59  672702      -1.7337   -0.00015148      -1.7336
ARHGEF16           1    3371147    3397677     19       3  675273     -0.94708   -0.00015148     -0.94693
MEGF6              1    3404506    3528059     44      16  617760      0.47339   -0.00015148      0.47354
TPRG1L             1    3541556    3546695      5       2  654302     -0.59116   -0.00015148     -0.59101
WRAP73             1    3547331    3566671      9       3  649901      -1.6647   -0.00015148      -1.6646
TP73               1    3569129    3652765     38      14  634820      -1.4383   -0.00015148      -1.4382
CCDC27             1    3668965    3688209     18       6  686218     -0.85436   -0.00015148     -0.85421
SMIM1              1    3689352    3692546      3       1  713210     0.047849   -0.00015148        0.048
LRRC47             1    3696784    3713068     19       7  667834     -0.37445   -0.00015148      -0.3743
CEP104             1    3728645    3773797     76       8  688553      -2.2605   -0.00015148      -2.2603
DFFB               1    3773845    3801993      9       4  654112      -1.8567   -0.00015148      -1.8565
C1orf174           1    3805697    3816857     15       3  671527      0.57843   -0.00015148      0.57858
AJAP1              1    4715105    4843851    201      48  676129     -0.96465   -0.00015148      -0.9645
NPHP4              1    5922870    6052618    147      12  685849       -1.973   -0.00015148      -1.9728
KCNAB2             1    6052358    6161253     46      13  658355      0.71915   -0.00015148       0.7193
CHD5               1    6161847    6240194     48      11  660443       -1.646   -0.00015148      -1.6458
RPL22              1    6245080    6259679      3       1  663905      0.70696   -0.00015148      0.70712
RNF207             1    6266189    6281359      6       2  706838     -0.25561   -0.00015148     -0.25546
ICMT               1    6281253    6296044      6       2  638500      -1.9282   -0.00015148       -1.928
HES3               1    6304252    6305638      1       1  549252       2.6693   -0.00015148       2.6695
GPR153             1    6307406    6321035      6       1  689242        1.865   -0.00015148       1.8652
ACOT7              1    6324332    6453826     44       6  683136      -1.7514   -0.00015148      -1.7512
HES2               1    6475292    6484724      4       1  691697      -1.5631   -0.00015148      -1.5629
ESPN               1    6484836    6521004      3       1  688954      -2.2007   -0.00015148      -2.2006
TNFRSF25           1    6520787    6527432      2       1  679973      -1.0297   -0.00015148      -1.0296
PLEKHG5            1    6526152    6580121     25       8  664993       3.1852   -0.00015148       3.1853
NOL9               1    6581407    6614658     25       2  694636        2.198   -0.00015148       2.1981
TAS1R1             1    6614987    6639817      6       2  669836       3.6406   -0.00015148       3.6407
ZBTB48             1    6640051    6649340      4       2  692334       4.3117   -0.00015148       4.3118
KLHL21             1    6650784    6662958      7       2  706420       5.0144   -0.00015148       5.0146
PHF13              1    6673756    6684093      5       2  710968       4.6426   -0.00015148       4.6428
THAP3              1    6684925    6695646      7       2  691470       3.9497   -0.00015148       3.9498
DNAJC11            1    6694228    6761966     36       5  691602       4.4921   -0.00015148       4.4922
CAMTA1             1    6845384    7829766    915     120  683692       3.4116   -0.00015148       3.4118
VAMP3              1    7831329    7841492      7       3  650312      0.82797   -0.00015148      0.82812
PER3               1    7844413    7905241     54      10  682422       1.5621   -0.00015148       1.5622
UTS2               1    7907672    7913551      4       2  685612      -0.3918   -0.00015148     -0.39165
TNFRSF9            1    7975931    8003225      9       3  682911        1.803   -0.00015148       1.8031
PARK7              1    8021714    8045342     11       3  686786       2.6332   -0.00015148       2.6333
ERRFI1             1    8071779    8086393      8       2  684602       2.2218   -0.00015148        2.222
SLC45A1            1    8378171    8404227     15       5  681250     -0.93819   -0.00015148     -0.93804
RERE               1    8412464    8877699    252      12  685999       3.4662   -0.00015148       3.4663
ENO1               1    8921059    8939151     16       3  681538    -0.057277   -0.00015148    -0.057126
CA6                1    9005893    9035151     33       9  671880      0.58987   -0.00015148      0.59002
SLC2A7             1    9063359    9086404     25      10  656091      -1.5532   -0.00015148      -1.5531
SLC2A5             1    9097005    9131763     24       5  677491      -1.6454   -0.00015148      -1.6452
GPR157             1    9163472    9189229     12       3  683560      0.26624   -0.00015148      0.26639
H6PD               1    9294822    9331396     17       5  692522       0.5054   -0.00015148      0.50555
SPSB1              1    9335202    9429591     52      18  674987     -0.46193   -0.00015148     -0.46177
SLC25A33           1    9599528    9642831     10       2  674233      0.69926   -0.00015148      0.69941
TMEM201            1    9648932    9674935     10       2  684249     0.042612   -0.00015148     0.042763
PIK3CD             1    9711789    9789172     26       8  677452       1.0365   -0.00015148       1.0367
CLSTN1             1    9789079    9884550     19       2  681181       2.3186   -0.00015148       2.3187
CTNNBIP1           1    9908334    9970316     15       2  690849      0.17947   -0.00015148      0.17962
LZIC               1    9982168   10003460      7       2  692220      0.72659   -0.00015148      0.72674
NMNAT1             1   10003486   10045556     10       2  701474      0.23154   -0.00015148      0.23169
RBP7               1   10057255   10076078      4       1  661898      -1.0101   -0.00015148      -1.0099
UBE4B              1   10093041   10241297     39       9  682414       1.1308   -0.00015148       1.1309
