# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
AGRN               1     955503     991499      2       1  134619      0.79595   -5.3413e-05        0.796
C1orf159           1    1017198    1051736     18       5  205033      0.17827   -5.3413e-05      0.17833
TTLL10             1    1109286    1133315     10       4  193381     -0.88186   -5.3413e-05     -0.88181
TNFRSF18           1    1138888    1142163      2       1  210013      -1.8711   -5.3413e-05       -1.871
TNFRSF4            1    1146706    1149703      1       1  160045     -0.83188   -5.3413e-05     -0.83183
SDF4               1    1152288    1167447      7       3  215069    -0.082535   -5.3413e-05    -0.082481
FAM132A            1    1177826    1182102      1       1  231752      -1.9739   -5.3413e-05      -1.9738
UBE2J2             1    1189292    1209234      8       3  229335      0.15274   -5.3413e-05      0.15279
SCNN1D             1    1215816    1227409      2       1  182632       0.7424   -5.3413e-05      0.74245
ACAP3              1    1227764    1243304      4       1  140583       3.1027   -5.3413e-05       3.1028
PUSL1              1    1243962    1247057      1       1  176793       2.6874   -5.3413e-05       2.6874
CPSF3L             1    1246965    1260067      1       1  190685       1.7304   -5.3413e-05       1.7304
ATAD3C             1    1378152    1405538      1       1  169233       0.1541   -5.3413e-05      0.15415
ATAD3B             1    1407139    1444852      2       1  132438       1.3935   -5.3413e-05       1.3935
ATAD3A             1    1447523    1470067      5       2  193014       2.7606   -5.3413e-05       2.7607
TMEM240            1    1470158    1475740      1       1  251134     -0.43227   -5.3413e-05     -0.43222
SSU72              1    1477053    1510262     18       2  229504     -0.69195   -5.3413e-05      -0.6919
NADK               1    1682671    1711508      3       2  220165    -0.068222   -5.3413e-05    -0.068169
GNB1               1    1716725    1822552     41       6  208351       -1.358   -5.3413e-05       -1.358
CALML6             1    1846266    1848733      1       1  250215      0.01298   -5.3413e-05     0.013033
CFAP74             1    1853390    1935276     16       4  225553     -0.86465   -5.3413e-05     -0.86459
PRKCZ              1    1981909    2116834     66       7  238571       5.6113   -5.3413e-05       5.6114
LOC100506504       1    2113250    2115812      1       1  250558       7.2047   -5.3413e-05       7.2048
C1orf86            1    2115899    2144159      9       2  235451       5.8242   -5.3413e-05       5.8242
SKI                1    2160134    2241652     66      16  221340        5.832   -5.3413e-05       5.8321
MORN1              1    2251719    2323190     71      17  223793       3.3401   -5.3413e-05       3.3402
RER1               1    2323214    2336883      7       2  241093      0.61845   -5.3413e-05       0.6185
PEX10              1    2336241    2344010      2       1  220705      0.71259   -5.3413e-05      0.71264
PLCH2              1    2407754    2436964     20       5  239538     -0.58049   -5.3413e-05     -0.58043
PANK4              1    2439975    2458061     10       2  231941     -0.31185   -5.3413e-05      -0.3118
TNFRSF14           1    2487291    2495268      8       3  212667      0.43861   -5.3413e-05      0.43866
FAM213B            1    2517899    2522908      1       1  252309     -0.23139   -5.3413e-05     -0.23134
MMEL1              1    2522078    2564499     25       2  242201     -0.28721   -5.3413e-05     -0.28716
TTC34              1    2572807    2706230      2       1  251603      0.71175   -5.3413e-05      0.71181
ACTRT2             1    2938046    2939467      2       1  248036      0.04989   -5.3413e-05     0.049944
PRDM16             1    2985565    3355185    340      68  226063       3.5709   -5.3413e-05       3.5709
ARHGEF16           1    3371147    3397677     20       4  226299      -2.2116   -5.3413e-05      -2.2116
MEGF6              1    3404506    3528059     69      21  179974      0.10271   -5.3413e-05      0.10277
TPRG1L             1    3541556    3546695      5       2  214788     -0.10554   -5.3413e-05     -0.10549
WRAP73             1    3547331    3566671      9       3  194418      0.14073   -5.3413e-05      0.14078
TP73               1    3569129    3652765     48      18  186259     -0.96894   -5.3413e-05     -0.96889
CCDC27             1    3668965    3688209     21       8  233410      -0.6248   -5.3413e-05     -0.62475
SMIM1              1    3689352    3692546      3       1  252350      0.37892   -5.3413e-05      0.37897
LRRC47             1    3696784    3713068     20       8  225266       1.1516   -5.3413e-05       1.1517
CEP104             1    3728645    3773797     83       9  249044      0.84756   -5.3413e-05      0.84761
DFFB               1    3773845    3801993     11       5  213501      0.58785   -5.3413e-05       0.5879
C1orf174           1    3805697    3816857     17       4  220840     -0.86566   -5.3413e-05     -0.86561
AJAP1              1    4715105    4843851    213      51  235974      -0.5813   -5.3413e-05     -0.58124
NPHP4              1    5922870    6052618    154      13  244214      -2.8126   -5.3413e-05      -2.8126
KCNAB2             1    6052358    6161253     53      16  213822      -1.4765   -5.3413e-05      -1.4764
CHD5               1    6161847    6240194     49      11  214803     0.033511   -5.3413e-05     0.033564
RPL22              1    6245080    6259679      4       2  203721      -1.0574   -5.3413e-05      -1.0574
RNF207             1    6266189    6281359      7       3  203100     -0.65118   -5.3413e-05     -0.65113
ICMT               1    6281253    6296044      6       2  197907        -1.87   -5.3413e-05        -1.87
GPR153             1    6307406    6321035      5       1  220519      0.10098   -5.3413e-05      0.10104
ACOT7              1    6324332    6453826     49       8  231608     -0.32424   -5.3413e-05     -0.32418
HES2               1    6475292    6484724      4       1  252661      0.17678   -5.3413e-05      0.17683
ESPN               1    6484836    6521004      4       2  230786       -1.477   -5.3413e-05       -1.477
TNFRSF25           1    6520787    6527432      3       1  181158      0.48027   -5.3413e-05      0.48032
PLEKHG5            1    6526152    6580121     29       9  212644      0.34207   -5.3413e-05      0.34212
NOL9               1    6581407    6614658     27       2  247809       1.1769   -5.3413e-05       1.1769
TAS1R1             1    6614987    6639817      8       3  206013       1.7834   -5.3413e-05       1.7835
ZBTB48             1    6640051    6649340      4       2  229182       1.1799   -5.3413e-05         1.18
KLHL21             1    6650784    6662958      7       2  239604       1.4767   -5.3413e-05       1.4768
PHF13              1    6673756    6684093      5       2  251565       1.4164   -5.3413e-05       1.4164
THAP3              1    6684925    6695646      7       2  252575    -0.040462   -5.3413e-05    -0.040409
DNAJC11            1    6694228    6761966     36       5  250438      0.41859   -5.3413e-05      0.41864
CAMTA1             1    6845384    7829766   1018     129  241484      -1.2556   -5.3413e-05      -1.2556
VAMP3              1    7831329    7841492      7       3  210263       1.6231   -5.3413e-05       1.6231
PER3               1    7844413    7905241     60      11  232870       1.4764   -5.3413e-05       1.4765
UTS2               1    7907672    7913551      4       2  247179       1.9626   -5.3413e-05       1.9627
TNFRSF9            1    7975931    8003225     12       4  222104      0.81308   -5.3413e-05      0.81313
PARK7              1    8021714    8045342     12       3  248631       2.5431   -5.3413e-05       2.5432
ERRFI1             1    8071779    8086393      8       2  246076       2.2519   -5.3413e-05        2.252
