# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 3895
# _SET1_  P-VALUE = 0.00297422
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   SAMD11             1     859993     879961     65      17  293723        1.242     0.051032    0.00052505       1.2415
_SET1_   HES4               1     934342     936608     12       3  293723      0.67925      0.14537    0.00052505      0.67873
_SET1_   AGRN               1     955503     991499    107      13  293723       1.1059     0.054149    0.00052505       1.1054
_SET1_   C1orf159           1    1017198    1051736    115      13  293723      0.86274     0.087922    0.00052505      0.86222
_SET1_   TAS1R3             1    1266726    1269844      8       4  293723       -0.209      0.52806    0.00052505     -0.20952
_SET1_   DVL1               1    1270658    1284509     40       8  293723     -0.34867      0.52805    0.00052505      -0.3492
_SET1_   MXRA8              1    1288071    1297183     26       5  293723     -0.42054      0.55468    0.00052505     -0.42107
_SET1_   VWA1               1    1370903    1378262     20       5  293723     -0.43271      0.54118    0.00052505     -0.43324
_SET1_   ATAD3A             1    1447523    1470067     72      10  293723     -0.80551      0.67053    0.00052505     -0.80603
_SET1_   MMP23B             1    1567060    1570030      2       1  293723      0.48335      0.23347    0.00052505      0.48282
_SET1_   SLC35E2B           1    1591486    1624243     63      11  293723        -1.71      0.88342    0.00052505      -1.7105
_SET1_   SLC35E2            1    1656277    1677438     59       8  293723     -0.70567      0.57812    0.00052505     -0.70619
_SET1_   TMEM52             1    1849029    1850740      6       3  293723    -0.092134       0.3996    0.00052505    -0.092659
_SET1_   PRKCZ              1    1981909    2116834    413      30  293723     -0.84121      0.54718    0.00052505     -0.84173
_SET1_   C1orf86            1    2115899    2144159     56      12  293723     -0.84074      0.65571    0.00052505     -0.84127
_SET1_   PEX10              1    2336241    2344010     24       9  293723      0.66916      0.14918    0.00052505      0.66864
_SET1_   PLCH2              1    2407754    2436964     72      14  293723     -0.99677      0.69368    0.00052505      -0.9973
_SET1_   HES5               1    2460184    2461684      3       2  293723      0.54675      0.25382    0.00052505      0.54623
_SET1_   FAM213B            1    2517899    2522908     10       4  293723      -1.6891      0.91061    0.00052505      -1.6896
_SET1_   MMEL1              1    2522078    2564499    161      10  293723      -1.3826      0.78876    0.00052505      -1.3832
_SET1_   MEGF6              1    3404506    3528059    508      71  293723      -2.6765      0.97769    0.00052505      -2.6771
_SET1_   AJAP1              1    4715105    4843851    635      85  293723     -0.77102      0.50301    0.00052505     -0.77155
_SET1_   RNF207             1    6266189    6281359     37       5  293723       1.6451     0.024793    0.00052505       1.6446
_SET1_   GPR153             1    6307406    6321035     36       3  293723      -1.2646      0.78326    0.00052505      -1.2652
