# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SAMD11             1     859993     879961     21       5  503      0.33293    0.00034104      0.33259
NOC2L              1     879583     894679     30       3  503       1.1012    0.00034104       1.1009
KLHL17             1     895967     901099     12       2  503       0.3043    0.00034104      0.30396
PLEKHN1            1     901872     910488      3       2  503     -0.31351    0.00034104     -0.31385
PERM1              1     910579     917473     19       4  503      -0.8318    0.00034104     -0.83214
HES4               1     934342     936608     10       2  503      -1.4916    0.00034104       -1.492
ISG15              1     948847     949920      5       2  503      0.10374    0.00034104       0.1034
AGRN               1     955503     991499     78       7  503    -0.069493    0.00034104    -0.069834
RNF223             1    1007126    1009687      6       2  503     -0.01995    0.00034104    -0.020291
C1orf159           1    1017198    1051736     96       9  503     -0.49217    0.00034104     -0.49251
TTLL10             1    1109286    1133315    137      16  503      -2.6494    0.00034104      -2.6498
TNFRSF18           1    1138888    1142163     10       2  503      -1.5795    0.00034104      -1.5799
TNFRSF4            1    1146706    1149703      8       3  503      0.78358    0.00034104      0.78324
SDF4               1    1152288    1167447     91       5  503      0.19293    0.00034104      0.19259
B3GALT6            1    1167629    1170421      8       2  503       1.6712    0.00034104       1.6708
FAM132A            1    1177826    1182102     10       2  503       1.4333    0.00034104        1.433
UBE2J2             1    1189292    1209234     42       6  503      -1.6101    0.00034104      -1.6105
SCNN1D             1    1215816    1227409     36      11  503      -1.4982    0.00034104      -1.4986
ACAP3              1    1227764    1243304     46       7  503      -1.1063    0.00034104      -1.1066
PUSL1              1    1243962    1247057      3       2  503     -0.79928    0.00034104     -0.79962
CPSF3L             1    1246965    1260067     17       4  503      0.40785    0.00034104       0.4075
CPTP               1    1260136    1264276     11       2  503     -0.52802    0.00034104     -0.52836
TAS1R3             1    1266726    1269844      5       2  503       0.1121    0.00034104      0.11176
DVL1               1    1270658    1284509     33       5  503      0.15014    0.00034104       0.1498
MXRA8              1    1288071    1297183     24       4  503     -0.17741    0.00034104     -0.17775
AURKAIP1           1    1309110    1310818      6       3  503    -0.017457    0.00034104    -0.017798
CCNL2              1    1321091    1334718     17       5  503     -0.87173    0.00034104     -0.87208
MRPL20             1    1337276    1342693     12       4  503     -0.14998    0.00034104     -0.15032
ANKRD65            1    1353800    1356824      8       2  503     -0.74104    0.00034104     -0.74138
TMEM88B            1    1361508    1363167      7       2  503     -0.53439    0.00034104     -0.53473
VWA1               1    1370903    1378262     16       4  503      0.24827    0.00034104      0.24792
ATAD3C             1    1378152    1405538     73      10  503     -0.77615    0.00034104     -0.77649
ATAD3B             1    1407139    1444852    119      11  503     -0.29038    0.00034104     -0.29072
ATAD3A             1    1447523    1470067     74      10  503     -0.90927    0.00034104     -0.90961
TMEM240            1    1470158    1475740      9       4  503      0.78656    0.00034104      0.78622
SSU72              1    1477053    1510262     91      10  503      0.68127    0.00034104      0.68092
MIB2               1    1550795    1565990      2       1  503      0.33759    0.00034104      0.33725
MMP23B             1    1567060    1570030      1       1  503      -1.4169    0.00034104      -1.4172
SLC35E2B           1    1591486    1624243      1       1  503      -1.7914    0.00034104      -1.7917
CDK11A             1    1633822    1655999     37       2  503     0.035346    0.00034104     0.035005
SLC35E2            1    1656277    1677438     50       6  503     -0.68892    0.00034104     -0.68926
NADK               1    1682671    1711508     59       7  503     -0.64523    0.00034104     -0.64557
GNB1               1    1716725    1822552    121      12  503     -0.50209    0.00034104     -0.50243
CALML6             1    1846266    1848733     10       3  503    -0.067804    0.00034104    -0.068145
TMEM52             1    1849029    1850740      6       3  503     -0.47116    0.00034104      -0.4715
CFAP74             1    1853390    1935276    268      17  503      0.51007    0.00034104      0.50972
GABRD              1    1950768    1962192     16       2  503     -0.39267    0.00034104     -0.39301
PRKCZ              1    1981909    2116834    397      28  503       1.8034    0.00034104        1.803
LOC100506504       1    2113250    2115812      3       2  503       3.1415    0.00034104       3.1411
C1orf86            1    2115899    2144159     56      12  503       2.4325    0.00034104       2.4321
SKI                1    2160134    2241652    239      43  503      0.85526    0.00034104      0.85492
MORN1              1    2251719    2323190    325      41  503     -0.71611    0.00034104     -0.71645
RER1               1    2323214    2336883     36      11  503      0.76814    0.00034104       0.7678
PEX10              1    2336241    2344010     22       7  503     0.051344    0.00034104     0.051003
PLCH2              1    2407754    2436964     83      16  503     -0.25767    0.00034104     -0.25801
PANK4              1    2439975    2458061     43       7  503      0.54088    0.00034104      0.54054
HES5               1    2460184    2461684      3       2  503      0.23271    0.00034104      0.23237
TNFRSF14           1    2487291    2495268     18       4  503      0.57256    0.00034104      0.57222
FAM213B            1    2517899    2522908      9       3  503       2.1727    0.00034104       2.1724
MMEL1              1    2522078    2564499    152       8  503       2.5064    0.00034104       2.5061
TTC34              1    2572807    2706230     65       9  503        1.002    0.00034104       1.0016
ACTRT2             1    2938046    2939467      4       2  503     -0.13352    0.00034104     -0.13386
PRDM16             1    2985565    3355185   1421     162  503      0.76907    0.00034104      0.76873
ARHGEF16           1    3371147    3397677     82       9  503     -0.30949    0.00034104     -0.30983
MEGF6              1    3404506    3528059    447      66  503      -2.6431    0.00034104      -2.6434
TPRG1L             1    3541556    3546695     11       4  503     -0.41226    0.00034104      -0.4126
WRAP73             1    3547331    3566671     37       8  503     -0.66711    0.00034104     -0.66745
TP73               1    3569129    3652765    275      42  503     -0.31916    0.00034104      -0.3195
CCDC27             1    3668965    3688209     64      13  503      -2.2301    0.00034104      -2.2304
SMIM1              1    3689352    3692546     13       6  503      -1.9657    0.00034104      -1.9661
LRRC47             1    3696784    3713068     72      12  503      -1.3748    0.00034104      -1.3752
CEP104             1    3728645    3773797    294      16  503      -2.0794    0.00034104      -2.0798
DFFB               1    3773845    3801993    162      21  503      -2.8615    0.00034104      -2.8619
C1orf174           1    3805697    3816857     37       6  503     -0.81826    0.00034104      -0.8186
AJAP1              1    4715105    4843851    658      85  503      -1.3653    0.00034104      -1.3657
NPHP4              1    5922870    6052618    398      22  503      -1.3064    0.00034104      -1.3067
KCNAB2             1    6052358    6161253    293      42  503     -0.86215    0.00034104     -0.86249
CHD5               1    6161847    6240194    272      27  503      -1.4563    0.00034104      -1.4566
RPL22              1    6245080    6259679     32       5  503     -0.30356    0.00034104      -0.3039
RNF207             1    6266189    6281359     36       5  503     -0.76719    0.00034104     -0.76753
ICMT               1    6281253    6296044     27       4  503     -0.89291    0.00034104     -0.89325
HES3               1    6304252    6305638      5       2  503     -0.82813    0.00034104     -0.82848
GPR153             1    6307406    6321035     36       3  503     -0.46916    0.00034104      -0.4695
ACOT7              1    6324332    6453826    418      24  503     -0.48867    0.00034104     -0.48902
HES2               1    6475292    6484724     27       5  503       0.2302    0.00034104      0.22986
ESPN               1    6484836    6521004     99      10  503      0.58702    0.00034104      0.58668
TNFRSF25           1    6520787    6527432     18       5  503       2.7914    0.00034104        2.791
PLEKHG5            1    6526152    6580121    143      24  503       2.2943    0.00034104       2.2939
NOL9               1    6581407    6614658    123       5  503      -1.4877    0.00034104      -1.4881
TAS1R1             1    6614987    6639817     55       9  503     -0.60956    0.00034104      -0.6099
ZBTB48             1    6640051    6649340     10       5  503       2.0042    0.00034104       2.0039
KLHL21             1    6650784    6662958     35      11  503       3.1729    0.00034104       3.1725
PHF13              1    6673756    6684093     21       5  503       2.8516    0.00034104       2.8513
THAP3              1    6684925    6695646     30       6  503        3.029    0.00034104       3.0287
DNAJC11            1    6694228    6761966    149      18  503       4.0006    0.00034104       4.0002
