# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SAMD11             1     859993     879961     76      18  215859     -0.48471    0.00072216     -0.48543
NOC2L              1     879583     894679     66      12  216487     -0.96169    0.00072216     -0.96242
KLHL17             1     895967     901099     22       6  228342      -0.4927    0.00072216     -0.49342
PLEKHN1            1     901872     910488     28      14  209816       0.1116    0.00072216      0.11087
PERM1              1     910579     917473     24       6  232257      0.78857    0.00072216      0.78785
HES4               1     934342     936608     14       4  222801       2.1071    0.00072216       2.1064
ISG15              1     948847     949920      9       4  204042       1.7356    0.00072216       1.7349
AGRN               1     955503     991499    164      27  215093      0.65417    0.00072216      0.65345
RNF223             1    1007126    1009687      9       4  230098     -0.40475    0.00072216     -0.40547
C1orf159           1    1017198    1051736    112      15  240636      -1.3678    0.00072216      -1.3685
TTLL10             1    1109286    1133315    136      19  242945       1.0628    0.00072216        1.062
TNFRSF18           1    1138888    1142163     12       3  238122     -0.62433    0.00072216     -0.62506
TNFRSF4            1    1146706    1149703      9       4  223371      -1.2559    0.00072216      -1.2567
SDF4               1    1152288    1167447     91       5  250282       0.1155    0.00072216      0.11478
B3GALT6            1    1167629    1170421      9       3  228831      -2.1146    0.00072216      -2.1154
FAM132A            1    1177826    1182102     13       3  238914     -0.98147    0.00072216     -0.98219
UBE2J2             1    1189292    1209234     61      11  232230     -0.95072    0.00072216     -0.95144
SCNN1D             1    1215816    1227409     44      16  228422     -0.29034    0.00072216     -0.29106
ACAP3              1    1227764    1243304     69      17  217588      -1.6231    0.00072216      -1.6238
PUSL1              1    1243962    1247057     10       5  190413      -1.6586    0.00072216      -1.6594
CPSF3L             1    1246965    1260067     29       9  207255     -0.45893    0.00072216     -0.45965
CPTP               1    1260136    1264276     17       5  224363     -0.25823    0.00072216     -0.25895
TAS1R3             1    1266726    1269844      9       5  218795       1.2312    0.00072216       1.2305
DVL1               1    1270658    1284509     39       9  228497     0.065853    0.00072216     0.065131
MXRA8              1    1288071    1297183     30       7  232479     -0.39064    0.00072216     -0.39136
AURKAIP1           1    1309110    1310818      8       4  231185     -0.64005    0.00072216     -0.64078
CCNL2              1    1321091    1334718     26      11  216593     -0.91068    0.00072216      -0.9114
MRPL20             1    1337276    1342693     17       7  224596     -0.47979    0.00072216     -0.48051
ANKRD65            1    1353800    1356824      5       2  246750      -0.3892    0.00072216     -0.38992
TMEM88B            1    1361508    1363167      6       2  213840     -0.87656    0.00072216     -0.87728
VWA1               1    1370903    1378262      6       2  230043      -2.6491    0.00072216      -2.6498
ATAD3C             1    1378152    1405538     21       5  225029     -0.57981    0.00072216     -0.58054
ATAD3B             1    1407139    1444852     64       7  226205      -1.8695    0.00072216      -1.8703
ATAD3A             1    1447523    1470067     50       7  230118      0.58714    0.00072216      0.58642
TMEM240            1    1470158    1475740      5       2  239854      -1.3352    0.00072216       -1.336
SSU72              1    1477053    1510262     89      10  231565      -1.2705    0.00072216      -1.2712
C1orf233           1    1533388    1535476      2       1  203990      -1.7259    0.00072216      -1.7266
MIB2               1    1550795    1565990     21       5  198196     -0.56298    0.00072216      -0.5637
CDK11B             1    1571100    1590473     16       3  197563       2.4565    0.00072216       2.4558
SLC35E2B           1    1591486    1624243     28       7  200857      0.75826    0.00072216      0.75754
SLC35E2            1    1656277    1677438      4       1  233988      -1.7324    0.00072216      -1.7331
NADK               1    1682671    1711508     69      11  243368       0.4626    0.00072216      0.46188
GNB1               1    1716725    1822552    141      19  245590      0.65716    0.00072216      0.65644
CALML6             1    1846266    1848733     11       4  248497    -0.035695    0.00072216    -0.036418
TMEM52             1    1849029    1850740      6       3  251242      0.18017    0.00072216      0.17945
CFAP74             1    1853390    1935276    264      22  231300      -1.1735    0.00072216      -1.1742
GABRD              1    1950768    1962192     15       2  234184      0.86071    0.00072216      0.85999
PRKCZ              1    1981909    2116834    496      47  236748       -1.263    0.00072216      -1.2638
LOC100506504       1    2113250    2115812      7       4  231083      -1.3309    0.00072216      -1.3316
C1orf86            1    2115899    2144159     64      17  235105      -1.6519    0.00072216      -1.6526
SKI                1    2160134    2241652    264      49  235578     -0.48128    0.00072216       -0.482
MORN1              1    2251719    2323190    357      52  239690     -0.61291    0.00072216     -0.61363
RER1               1    2323214    2336883     44      16  240050    -0.067587    0.00072216    -0.068309
PEX10              1    2336241    2344010     31      12  228145    -0.085378    0.00072216      -0.0861
PLCH2              1    2407754    2436964    107      26  228858     -0.54969    0.00072216     -0.55041
PANK4              1    2439975    2458061     69      13  233360     -0.18227    0.00072216     -0.18299
HES5               1    2460184    2461684      5       3  230194       1.4467    0.00072216        1.446
TNFRSF14           1    2487291    2495268     24       7  239693     -0.71063    0.00072216     -0.71135
FAM213B            1    2517899    2522908     19      10  223748      -1.0399    0.00072216      -1.0406
MMEL1              1    2522078    2564499    182      16  243629      -1.5896    0.00072216      -1.5903
TTC34              1    2572807    2706230     85      14  231857     -0.39028    0.00072216     -0.39101
ACTRT2             1    2938046    2939467      4       2  244890      -1.8645    0.00072216      -1.8652
PRDM16             1    2985565    3355185   1438     165  232494      -0.1929    0.00072216     -0.19362
ARHGEF16           1    3371147    3397677     98      14  243063       0.6895    0.00072216      0.68878
MEGF6              1    3404506    3528059    475      79  231716      -1.3867    0.00072216      -1.3874
TPRG1L             1    3541556    3546695     19       6  219192       -1.408    0.00072216      -1.4087
WRAP73             1    3547331    3566671     44      13  233030      -1.3218    0.00072216      -1.3225
TP73               1    3569129    3652765    264      47  242692      -1.0365    0.00072216      -1.0372
CCDC27             1    3668965    3688209     74      18  226583      0.43834    0.00072216      0.43762
SMIM1              1    3689352    3692546     11       5  252125      0.62518    0.00072216      0.62446
LRRC47             1    3696784    3713068     76      14  249721        1.541    0.00072216       1.5403
CEP104             1    3728645    3773797    274      17  257866       0.7582    0.00072216      0.75748
DFFB               1    3773845    3801993    151      20  232597      0.83069    0.00072216      0.82997
C1orf174           1    3805697    3816857     48      10  237130      -1.3181    0.00072216      -1.3188
AJAP1              1    4715105    4843851    712      99  244656       1.4546    0.00072216       1.4539
NPHP4              1    5922870    6052618    532      33  241621      0.55634    0.00072216      0.55562
KCNAB2             1    6052358    6161253    338      57  235957     -0.14341    0.00072216     -0.14413
CHD5               1    6161847    6240194    283      35  247959       2.0662    0.00072216       2.0654
RPL22              1    6245080    6259679     35       7  244079       2.1142    0.00072216       2.1135
RNF207             1    6266189    6281359     45       8  237331     -0.84655    0.00072216     -0.84727
ICMT               1    6281253    6296044     40       8  233811     -0.38959    0.00072216     -0.39031
HES3               1    6304252    6305638      6       3  227774     -0.55503    0.00072216     -0.55576
GPR153             1    6307406    6321035     37       3  248732     -0.55228    0.00072216       -0.553
ACOT7              1    6324332    6453826    480      30  239959      -0.5655    0.00072216     -0.56622
HES2               1    6475292    6484724     25       5  255718      0.36317    0.00072216      0.36245
ESPN               1    6484836    6521004    108      13  246104      0.47237    0.00072216      0.47164
TNFRSF25           1    6520787    6527432     20       7  239341     -0.32731    0.00072216     -0.32803
PLEKHG5            1    6526152    6580121    171      35  232846      0.18026    0.00072216      0.17954
NOL9               1    6581407    6614658    129       7  250378      0.93656    0.00072216      0.93584
TAS1R1             1    6614987    6639817     72      16  228037      0.56862    0.00072216       0.5679
ZBTB48             1    6640051    6649340     18      11  228399      0.70526    0.00072216      0.70454
KLHL21             1    6650784    6662958     48      18  234029      0.70739    0.00072216      0.70667
PHF13              1    6673756    6684093     26       7  243057      0.84669    0.00072216      0.84597
THAP3              1    6684925    6695646     41      11  243464       1.3071    0.00072216       1.3063
DNAJC11            1    6694228    6761966    188      32  241845       1.5047    0.00072216        1.504
CAMTA1             1    6845384    7829766   2930     228  240899       2.7443    0.00072216       2.7436
VAMP3              1    7831329    7841492     38      12  254106      0.13732    0.00072216       0.1366
PER3               1    7844413    7905241    251      37  252452     -0.17999    0.00072216     -0.18071
UTS2               1    7907672    7913551     26      10  255665     -0.35367    0.00072216      -0.3544
TNFRSF9            1    7975931    8003225     66      11  238140      0.73828    0.00072216      0.73756
PARK7              1    8021714    8045342     67      15  239764     -0.87088    0.00072216      -0.8716
ERRFI1             1    8071779    8086393     30       8  244433     -0.12623    0.00072216     -0.12695
SLC45A1            1    8378171    8404227     89      17  247696       1.0924    0.00072216       1.0917
RERE               1    8412464    8877699    845      38  243644       1.3289    0.00072216       1.3282
ENO1               1    8921059    8939151     34       9  242741     -0.11248    0.00072216      -0.1132
CA6                1    9005893    9035151    135      31  236059     0.082122    0.00072216     0.081399
SLC2A7             1    9063359    9086404     72      22  225807     -0.35493    0.00072216     -0.35565
SLC2A5             1    9097005    9131763    108      17  251773       -1.268    0.00072216      -1.2688
GPR157             1    9163472    9189229     69      13  242120     -0.79242    0.00072216     -0.79314
H6PD               1    9294822    9331396    104      21  236260     -0.20048    0.00072216      -0.2012
SPSB1              1    9335202    9429591    472      71  237980     -0.23979    0.00072216     -0.24051
SLC25A33           1    9599528    9642831     60      10  238917    -0.056279    0.00072216    -0.057001
TMEM201            1    9648932    9674935     51      13  231775      0.21093    0.00072216       0.2102
PIK3CD             1    9711789    9789172    206      46  225499     -0.37264    0.00072216     -0.37336
CLSTN1             1    9789079    9884550    188      30  229494      -1.3246    0.00072216      -1.3253
CTNNBIP1           1    9908334    9970316    143      26  209334     -0.98681    0.00072216     -0.98753
LZIC               1    9982168   10003460     51      13  242450      -1.6383    0.00072216       -1.639
NMNAT1             1   10003486   10045556     96      17  240689      -1.3084    0.00072216      -1.3091
RBP7               1   10057255   10076078     49       8  240214     -0.87707    0.00072216      -0.8778
UBE4B              1   10093041   10241297    396      28  234656     -0.33196    0.00072216     -0.33268
KIF1B              1   10270606   10441664    592      21  250628      -1.1126    0.00072216      -1.1133
PGD                1   10458884   10480565     54      10  236370      -1.2038    0.00072216      -1.2045
APITD1             1   10489944   10510239     55      10  244751     -0.34956    0.00072216     -0.35028
APITD1-CORT        1   10490159   10512060     57      10  245771     -0.33144    0.00072216     -0.33216
CORT               1   10509776   10512060      5       2  258839     -0.29696    0.00072216     -0.29769
