# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 3761
# _SET1_  P-VALUE = 0.0118968
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   AGRN               1     955503     991499      2       1  134619      0.79595      0.11023   -5.3413e-05        0.796
_SET1_   C1orf159           1    1017198    1051736     18       5  205033      0.17827     0.082413   -5.3413e-05      0.17833
_SET1_   ATAD3A             1    1447523    1470067      5       2  193014       2.7606   0.00023685   -5.3413e-05       2.7607
_SET1_   PRKCZ              1    1981909    2116834     66       7  238571       5.6113   4.9049e-13   -5.3413e-05       5.6114
_SET1_   C1orf86            1    2115899    2144159      9       2  235451       5.8242    1.221e-12   -5.3413e-05       5.8242
_SET1_   PEX10              1    2336241    2344010      2       1  220705      0.71259     0.069017   -5.3413e-05      0.71264
_SET1_   PLCH2              1    2407754    2436964     20       5  239538     -0.58049      0.20587   -5.3413e-05     -0.58043
_SET1_   FAM213B            1    2517899    2522908      1       1  252309     -0.23139         0.24   -5.3413e-05     -0.23134
_SET1_   MMEL1              1    2522078    2564499     25       2  242201     -0.28721      0.16638   -5.3413e-05     -0.28716
_SET1_   MEGF6              1    3404506    3528059     69      21  179974      0.10271     0.060142   -5.3413e-05      0.10277
_SET1_   AJAP1              1    4715105    4843851    213      51  235974      -0.5813     0.069941   -5.3413e-05     -0.58124
_SET1_   RNF207             1    6266189    6281359      7       3  203100     -0.65118      0.37681   -5.3413e-05     -0.65113
_SET1_   GPR153             1    6307406    6321035      5       1  220519      0.10098      0.14992   -5.3413e-05      0.10104
_SET1_   NOL9               1    6581407    6614658     27       2  247809       1.1769      0.00869   -5.3413e-05       1.1769
_SET1_   ZBTB48             1    6640051    6649340      4       2  229182       1.1799     0.013413   -5.3413e-05         1.18
_SET1_   CAMTA1             1    6845384    7829766   1018     129  241484      -1.2556       0.1492   -5.3413e-05      -1.2556
_SET1_   VAMP3              1    7831329    7841492      7       3  210263       1.6231    0.0034179   -5.3413e-05       1.6231
_SET1_   PER3               1    7844413    7905241     60      11  232870       1.4764    0.0011783   -5.3413e-05       1.4765
_SET1_   ERRFI1             1    8071779    8086393      8       2  246076       2.2519   0.00025774   -5.3413e-05        2.252
_SET1_   ENO1               1    8921059    8939151     16       3  243879      -1.3805       0.5364   -5.3413e-05      -1.3805
_SET1_   GPR157             1    9163472    9189229     12       3  246361      -1.0203       0.3875   -5.3413e-05      -1.0203
_SET1_   H6PD               1    9294822    9331396     21       6  238141       5.5249   1.6419e-12   -5.3413e-05        5.525
_SET1_   NMNAT1             1   10003486   10045556     12       2  251909     -0.44269      0.24349   -5.3413e-05     -0.44264
_SET1_   DFFA               1   10520588   10532613      3       2  221552     -0.84257      0.43247   -5.3413e-05     -0.84252
_SET1_   CASZ1              1   10696661   10856733     93      32  199448      -1.1703       0.3041   -5.3413e-05      -1.1702
_SET1_   EXOSC10            1   11126675   11159961     14       1  240209       4.2591   4.9533e-08   -5.3413e-05       4.2591
_SET1_   MTOR               1   11166588   11322614     42       2  232426       4.3684   1.0859e-08   -5.3413e-05       4.3685
_SET1_   PTCHD2             1   11539295   11597640     41       5  243714       -1.386      0.48186   -5.3413e-05       -1.386
_SET1_   FBXO44             1   11714432   11723384      5       2  186399     -0.47556      0.35053   -5.3413e-05      -0.4755
_SET1_   MAD2L2             1   11734537   11751678      6       2  201291     -0.63357       0.3656   -5.3413e-05     -0.63351
_SET1_   DRAXIN             1   11751781   11780336     15       5  222114      -0.3019      0.15799   -5.3413e-05     -0.30184
_SET1_   MTHFR              1   11845787   11866160     33       6  243562      -2.2072       0.7814   -5.3413e-05      -2.2071
_SET1_   PLOD1              1   11994724   12035599     24       6  235124     -0.98758      0.34233   -5.3413e-05     -0.98753
_SET1_   TNFRSF1B           1   12227044   12269279     48       9  218515      0.81824       0.0127   -5.3413e-05      0.81829
_SET1_   VPS13D             1   12290101   12572099     73      15  228035     -0.36004      0.12463   -5.3413e-05     -0.35998
_SET1_   DHRS3              1   12627939   12677820     38      12  230576      -1.2676      0.38017   -5.3413e-05      -1.2676
_SET1_   EFHD2              1   15736391   15756839      5       3  227341     -0.93892      0.41326   -5.3413e-05     -0.93887
_SET1_   CELA2A             1   15783223   15798586     18       4  242575        -1.76      0.65525   -5.3413e-05        -1.76
_SET1_   SPEN               1   16174359   16266951     41       6  239604       1.3592    0.0026624   -5.3413e-05       1.3593
_SET1_   HSPB7              1   16340523   16346084     11       3  207270     0.098414      0.11177   -5.3413e-05     0.098468
_SET1_   ARHGEF19           1   16524599   16539104     17       3  238287      0.17995     0.073325   -5.3413e-05         0.18
_SET1_   FBXO42             1   16573339   16678965     41       4  251915      -1.7742      0.62118   -5.3413e-05      -1.7742
_SET1_   NBPF1              1   16888922   16940100      5       3   88091      -1.0598      0.71025   -5.3413e-05      -1.0598
_SET1_   MFAP2              1   17300997   17308081      3       1  234229       7.7094   1.2834e-18   -5.3413e-05       7.7095
_SET1_   SDHB               1   17345217   17380665     29       5  247452       7.1711    2.921e-18   -5.3413e-05       7.1711
_SET1_   PADI2              1   17393256   17445948     66       7  235709       5.5312   8.6904e-13   -5.3413e-05       5.5313
_SET1_   ACTL8              1   18081808   18153558     65       9  241577       -1.524      0.47187   -5.3413e-05      -1.5239
_SET1_   PAX7               1   18957500   19075360    121      31  201708     -0.28818      0.08166   -5.3413e-05     -0.28813
_SET1_   AKR7A2             1   19629202   19638640      5       2  237281     -0.52983      0.27477   -5.3413e-05     -0.52978
_SET1_   PQLC2              1   19638740   19658925      9       3  219364       2.2212   0.00035183   -5.3413e-05       2.2212
_SET1_   VWA5B1             1   20617412   20681662     97      14  249871      0.36457     0.018825   -5.3413e-05      0.36462
_SET1_   KIF17              1   20990475   21044317     58      21  230493        1.262    0.0014367   -5.3413e-05        1.262
_SET1_   HP1BP3             1   21069170   21113808     24       5  247497       2.7839   1.1937e-05   -5.3413e-05       2.7839
_SET1_   EPHA8              1   22890004   22930087     29       8  243353     -0.34551      0.12364   -5.3413e-05     -0.34545
_SET1_   KDM1A              1   23345937   23410184     17       2  248304       3.1683   4.9724e-06   -5.3413e-05       3.1683
_SET1_   ASAP3              1   23755056   23810750     34       5  250369     0.086794     0.068074   -5.3413e-05     0.086847
_SET1_   RPL11              1   24018269   24022915      2       1  250931     -0.16969      0.20001   -5.3413e-05     -0.16963
_SET1_   LYPLA2             1   24117275   24122029      1       1  240703     0.081541          0.2   -5.3413e-05     0.081594
_SET1_   HMGCL              1   24128367   24165110     12       2  250241     -0.71035      0.29007   -5.3413e-05      -0.7103
