# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 4028
# _SET1_  P-VALUE = 0.00264691
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   SAMD11             1     859993     879961     21       5  77096      0.33293      0.19472    0.00034104      0.33259
_SET1_   HES4               1     934342     936608     10       2  77096      -1.4916      0.83649    0.00034104       -1.492
_SET1_   AGRN               1     955503     991499     78       7  77096    -0.069493      0.28271    0.00034104    -0.069834
_SET1_   C1orf159           1    1017198    1051736     96       9  77096     -0.49217      0.43767    0.00034104     -0.49251
_SET1_   TAS1R3             1    1266726    1269844      5       2  77096       0.1121      0.36321    0.00034104      0.11176
_SET1_   DVL1               1    1270658    1284509     33       5  77096      0.15014      0.28322    0.00034104       0.1498
_SET1_   MXRA8              1    1288071    1297183     24       4  77096     -0.17741      0.39378    0.00034104     -0.17775
_SET1_   VWA1               1    1370903    1378262     16       4  77096      0.24827      0.22706    0.00034104      0.24792
_SET1_   ATAD3A             1    1447523    1470067     74      10  77096     -0.90927      0.65425    0.00034104     -0.90961
_SET1_   MMP23B             1    1567060    1570030      1       1  77096      -1.4169       0.8521    0.00034104      -1.4172
_SET1_   SLC35E2B           1    1591486    1624243      1       1  77096      -1.7914       0.9201    0.00034104      -1.7917
_SET1_   SLC35E2            1    1656277    1677438     50       6  77096     -0.68892      0.52487    0.00034104     -0.68926
_SET1_   TMEM52             1    1849029    1850740      6       3  77096     -0.47116      0.49506    0.00034104      -0.4715
_SET1_   PRKCZ              1    1981909    2116834    397      28  77096       1.8034    0.0033655    0.00034104        1.803
_SET1_   C1orf86            1    2115899    2144159     56      12  77096       2.4325    0.0011589    0.00034104       2.4321
_SET1_   PEX10              1    2336241    2344010     22       7  77096     0.051344      0.27566    0.00034104     0.051003
_SET1_   PLCH2              1    2407754    2436964     83      16  77096     -0.25767      0.34366    0.00034104     -0.25801
_SET1_   HES5               1    2460184    2461684      3       2  77096      0.23271      0.30435    0.00034104      0.23237
_SET1_   FAM213B            1    2517899    2522908      9       3  77096       2.1727    0.0037885    0.00034104       2.1724
_SET1_   MMEL1              1    2522078    2564499    152       8  77096       2.5064    0.0006393    0.00034104       2.5061
_SET1_   MEGF6              1    3404506    3528059    447      66  77096      -2.6431       0.9537    0.00034104      -2.6434
_SET1_   AJAP1              1    4715105    4843851    658      85  77096      -1.3653      0.59458    0.00034104      -1.3657
_SET1_   RNF207             1    6266189    6281359     36       5  77096     -0.76719      0.61222    0.00034104     -0.76753
_SET1_   GPR153             1    6307406    6321035     36       3  77096     -0.46916      0.45179    0.00034104      -0.4695
_SET1_   NOL9               1    6581407    6614658    123       5  77096      -1.4877      0.80107    0.00034104      -1.4881
