# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SAMD11             1     859993     879961     65      17  293723        1.242    0.00052505       1.2415
NOC2L              1     879583     894679     46       7  293723      0.89959    0.00052505      0.89906
KLHL17             1     895967     901099     24       5  293723        1.057    0.00052505       1.0564
PLEKHN1            1     901872     910488     30      13  293723       3.1955    0.00052505        3.195
PERM1              1     910579     917473     23       6  293723       2.1624    0.00052505       2.1619
HES4               1     934342     936608     12       3  293723      0.67925    0.00052505      0.67873
ISG15              1     948847     949920      5       2  293723      0.74468    0.00052505      0.74415
AGRN               1     955503     991499    107      13  293723       1.1059    0.00052505       1.1054
RNF223             1    1007126    1009687      7       3  293723      0.98593    0.00052505       0.9854
C1orf159           1    1017198    1051736    115      13  293723      0.86274    0.00052505      0.86222
TTLL10             1    1109286    1133315    147      18  293723      -1.0811    0.00052505      -1.0816
TNFRSF18           1    1138888    1142163     10       2  293723     -0.53247    0.00052505       -0.533
TNFRSF4            1    1146706    1149703      8       3  293723     -0.46567    0.00052505      -0.4662
SDF4               1    1152288    1167447     98       6  293723     -0.84629    0.00052505     -0.84682
B3GALT6            1    1167629    1170421      8       2  293723      0.27845    0.00052505      0.27792
FAM132A            1    1177826    1182102     13       3  293723     -0.91443    0.00052505     -0.91496
UBE2J2             1    1189292    1209234     52       9  293723     -0.16943    0.00052505     -0.16995
SCNN1D             1    1215816    1227409     42      14  293723     0.053889    0.00052505     0.053364
ACAP3              1    1227764    1243304     48       9  293723     -0.32456    0.00052505     -0.32508
PUSL1              1    1243962    1247057      4       2  293723    -0.063255    0.00052505    -0.063781
CPSF3L             1    1246965    1260067     18       5  293723     -0.74781    0.00052505     -0.74833
CPTP               1    1260136    1264276     11       2  293723      -1.1983    0.00052505      -1.1988
TAS1R3             1    1266726    1269844      8       4  293723       -0.209    0.00052505     -0.20952
DVL1               1    1270658    1284509     40       8  293723     -0.34867    0.00052505      -0.3492
MXRA8              1    1288071    1297183     26       5  293723     -0.42054    0.00052505     -0.42107
AURKAIP1           1    1309110    1310818      6       3  293723      0.22424    0.00052505      0.22372
CCNL2              1    1321091    1334718     21       7  293723      -0.6977    0.00052505     -0.69823
MRPL20             1    1337276    1342693     13       5  293723    0.0019813    0.00052505    0.0014563
ANKRD65            1    1353800    1356824      7       2  293723     -0.22365    0.00052505     -0.22418
TMEM88B            1    1361508    1363167      8       3  293723     -0.91406    0.00052505     -0.91459
VWA1               1    1370903    1378262     20       5  293723     -0.43271    0.00052505     -0.43324
ATAD3C             1    1378152    1405538     76      11  293723     -0.94325    0.00052505     -0.94377
ATAD3B             1    1407139    1444852     91      16  293723     -0.39768    0.00052505      -0.3982
ATAD3A             1    1447523    1470067     72      10  293723     -0.80551    0.00052505     -0.80603
TMEM240            1    1470158    1475740     11       5  293723    -0.098007    0.00052505    -0.098532
SSU72              1    1477053    1510262     93      10  293723     -0.67202    0.00052505     -0.67254
C1orf233           1    1533388    1535476      2       1  293723     0.083688    0.00052505     0.083163
MIB2               1    1550795    1565990     34       6  293723     -0.23573    0.00052505     -0.23625
MMP23B             1    1567060    1570030      2       1  293723      0.48335    0.00052505      0.48282
CDK11B             1    1571100    1590473     27       4  293723      -1.4663    0.00052505      -1.4668
SLC35E2B           1    1591486    1624243     63      11  293723        -1.71    0.00052505      -1.7105
CDK11A             1    1633822    1655999     54       3  293723      0.26349    0.00052505      0.26296
SLC35E2            1    1656277    1677438     59       8  293723     -0.70567    0.00052505     -0.70619
NADK               1    1682671    1711508     68       9  293723     -0.51639    0.00052505     -0.51692
GNB1               1    1716725    1822552    159      20  293723     -0.36815    0.00052505     -0.36868
